case_name,time_ms,eye_x,eye_y,eye_z,gaze_x,gaze_y,gaze_z,plane_center_x,plane_center_y,plane_center_z,plane_normal_x,plane_normal_y,plane_normal_z,plane_width,plane_height,hit,in_out,hit_x,hit_y,hit_z,plane_u,plane_v,distance_intersection_minus_gaze_xy0,reason
close_plane,20,0.0,0.0,0.0,0.08879538,0.27328408,0.95782629,0.0,0.0,0.5,0.0,0.0,-1.0,1.0,0.6,True,True,0.04635254915624212,0.14265847744427304,0.5,-0.04635254915624212,0.14265847744427304,0.5185213994326039,inside
close_plane,21,0.0,0.0,0.0,0.07146051,0.27832032,0.95782629,0.0,0.0,0.5,0.0,0.0,-1.0,1.0,0.6,True,True,0.037303483074728215,0.1452874741692947,0.5,-0.037303483074728215,0.1452874741692947,0.5185213994326038,inside
close_plane,22,0.0,0.0,0.0,0.05384362,0.28225816,0.95782629,0.0,0.0,0.5,0.0,0.0,-1.0,1.0,0.6,True,True,0.028107197187858715,0.14734308760930334,0.5,-0.028107197187858715,0.14734308760930334,0.5185213994326039,inside
close_plane,23,0.0,0.0,0.0,0.03601424,0.28508206,0.95782629,0.0,0.0,0.5,0.0,0.0,-1.0,1.0,0.6,True,True,0.018799985034645642,0.1488172051971717,0.5,-0.018799985034645642,0.1488172051971717,0.5185213994326039,inside
close_plane,24,0.0,0.0,0.0,0.01804272,0.28678087,0.95782629,0.0,0.0,0.5,0.0,0.0,-1.0,1.0,0.6,True,True,0.00941857792939703,0.14970400926424077,0.5,-0.00941857792939703,0.14970400926424077,0.5185213994326039,inside
close_plane,25,0.0,0.0,0.0,0.00000000,0.28734789,0.95782629,0.0,0.0,0.5,0.0,0.0,-1.0,1.0,0.6,True,True,9.18485099360515e-18,0.15000000000000002,0.5,-9.18485099360515e-18,0.15000000000000002,0.5185213994326039,inside
close_plane,26,0.0,0.0,0.0,-0.01804272,0.28678087,0.95782629,0.0,0.0,0.5,0.0,0.0,-1.0,1.0,0.6,True,True,-0.009418577929396979,0.14970400926424077,0.5,0.009418577929396979,0.14970400926424077,0.5185213994326039,inside
close_plane,27,0.0,0.0,0.0,-0.03601424,0.28508206,0.95782629,0.0,0.0,0.5,0.0,0.0,-1.0,1.0,0.6,True,True,-0.018799985034645625,0.1488172051971717,0.5,0.018799985034645625,0.1488172051971717,0.5185213994326038,inside
close_plane,28,0.0,0.0,0.0,-0.05384362,0.28225816,0.95782629,0.0,0.0,0.5,0.0,0.0,-1.0,1.0,0.6,True,True,-0.028107197187858694,0.14734308760930337,0.5,0.028107197187858694,0.14734308760930337,0.5185213994326039,inside
close_plane,29,0.0,0.0,0.0,-0.07146051,0.27832032,0.95782629,0.0,0.0,0.5,0.0,0.0,-1.0,1.0,0.6,True,True,-0.0373034830747282,0.1452874741692947,0.5,0.0373034830747282,0.1452874741692947,0.5185213994326038,inside
