timestamp_unix_seconds,time_ms,frame_index,eye_position_x,eye_position_y,eye_position_z,eye_orientation_x,eye_orientation_y,eye_orientation_z,eye_orientation_w,gaze_dir_x,gaze_dir_y,gaze_dir_z,plane_center_x,plane_center_y,plane_center_z,plane_normal_x,plane_normal_y,plane_normal_z,plane_width,plane_height,hit,in_out,reason,t,hit_x,hit_y,hit_z,plane_u,plane_v
1780011696.242489,78.9,0,0.37249302864074707,1.0841023921966553,-0.43881887197494507,-0.04555102437734604,0.40939009189605713,-0.09648041427135468,-0.9060995578765869,0.7331067827888614,0.16154377382745444,-0.6606497212339906,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,0.6,True,False,outside,0.8494382272300912,0.9952219545832731,1.221323849056707,-1.0,0.9952219545832731,1.221323849056707
1780011696.421143,257.5,1,0.3783004879951477,1.0675065517425537,-0.39296239614486694,-0.042363788932561874,0.21248851716518402,-0.2058504819869995,-0.95429527759552,0.3881123803852905,0.16833686180619933,-0.9061078750065602,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,0.6,True,False,outside,0.6699396623726928,0.6383123650731313,1.1802820921058776,-1.0,0.6383123650731313,1.1802820921058776
1780011696.433217,269.6,2,0.37892577052116394,1.0667942762374878,-0.38990518450737,-0.040534067898988724,0.19328993558883667,-0.21534638106822968,-0.9563587307929993,0.35225127158794933,0.16077878033077272,-0.921991987741771,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,0.6,True,False,outside,0.6617137931826623,0.612015295597042,1.1731838128334455,-1.0,0.612015295597042,1.1731838128334455
1780011696.481237,317.6,3,0.3796643614768982,1.0662978887557983,-0.3868734538555145,-0.03853950276970863,0.17383909225463867,-0.22473107278347015,-0.9580138921737671,0.3157584844430359,0.15197685010660283,-0.9365893532033728,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,0.6,True,False,outside,0.6546375357006113,0.586371717609247,1.165787639393126,-1.0,0.586371717609247,1.165787639393126
1780011696.524522,360.9,4,0.3851320445537567,1.067688226699829,-0.3711387813091278,-0.023437879979610443,0.04910304397344589,-0.27613717317581177,-0.9595769047737122,0.0812921526150945,0.07209924688657325,-0.9940791138141839,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,0.6,True,False,outside,0.6326068116228631,0.43655801402955086,1.113298701393154,-1.0,0.43655801402955086,1.113298701393154
1780011696.531540,367.9,5,0.38610199093818665,1.068534016609192,-0.3690195381641388,-0.020731929689645767,0.028470395132899284,-0.28304606676101685,-0.9584594964981079,0.04283925634605731,0.05585829323079041,-0.9975192475301216,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,0.6,True,False,outside,0.6325496609696324,0.41319994801607635,1.1038671610546706,-1.0,0.41319994801607635,1.1038671610546706
1780011696.617905,454.3,6,0.3894226551055908,1.0740045309066772,-0.3606400489807129,-0.008618336170911789,-0.0644252747297287,-0.30804434418678284,-0.9491490125656128,-0.12760802384202066,-0.02333151112504263,-0.9915502170035345,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,0.6,True,False,outside,0.6448084424321275,0.3071399240101757,1.0589601755585507,-1.0,0.3071399240101757,1.0589601755585507
1780011696.631225,467.6,7,0.39039507508277893,1.0769847631454468,-0.3579658567905426,-0.00375997181981802,-0.09671436995267868,-0.3130473792552948,-0.9447928667068481,-0.18510418688844654,-0.053447569420854296,-0.9812643870636344,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,0.6,True,False,outside,0.6542927183271168,0.26928275346980657,1.0420144076610987,-1.0,0.26928275346980657,1.0420144076610987
1780011696.713938,550.3,8,0.3940313458442688,1.086834192276001,-0.350627601146698,0.006988530047237873,-0.18436330556869507,-0.3161095380783081,-0.9306106567382812,-0.33872259702114577,-0.1295651865182969,-0.9319226709924646,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,0.6,True,False,outside,0.6968093159078783,0.15800628473142428,0.9965519632927099,-1.0,0.15800628473142428,0.9965519632927099
1780011696.725446,561.8,9,0.394930899143219,1.088575839996338,-0.34946534037590027,0.008214091882109642,-0.19832555949687958,-0.3156047463417053,-0.9278971552848816,-0.3628666374269443,-0.14042864280607328,-0.9211990011512751,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,0.6,True,False,outside,0.7061825499279628,0.1386808118412739,0.989407582936622,-1.0,0.1386808118412739,0.989407582936622
1780011696.810785,647.2,10,0.4019903838634491,1.0998603105545044,-0.3440932035446167,0.01674310863018036,-0.27990594506263733,-0.3066393733024597,-0.9095848202705383,-0.4989282445575344,-0.20211893817369272,-0.8427446479297724,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,0.6,True,False,outside,0.7782983826318424,0.013675338074975785,0.942551467874654,-1.0,0.013675338074975785,0.942551467874654
1780011696.823900,660.3,11,0.40336039662361145,1.101583480834961,-0.34353137016296387,0.017747150734066963,-0.2928227484226227,-0.3048650026321411,-0.9060889482498169,-0.5198259548008246,-0.21070381542282327,-0.8278797490467297,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,0.6,True,False,outside,0.7929516703276454,-0.008836462515365517,0.9345055384510254,-1.0,-0.008836462515365517,0.9345055384510254
1780011696.911156,747.5,12,0.40956488251686096,1.1101900339126587,-0.3394628167152405,0.017446640878915787,-0.3576987683773041,-0.2935613691806793,-0.8863232135772705,-0.6238301799778555,-0.2409398275634025,-0.7434943887095009,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,0.6,True,False,outside,0.8884225534388606,-0.14465991889128937,0.8961336570836619,-1.0,-0.14465991889128937,0.8961336570836619
1780011696.994819,831.2,13,0.4123787581920624,1.1130993366241455,-0.33282670378685,0.0026284188497811556,-0.3915444314479828,-0.2795288860797882,-0.876669704914093,-0.6850407621304047,-0.22350444106977937,-0.6933721360437552,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,0.6,True,False,outside,0.962215326418955,-0.2467779623515347,0.8980399379041016,-1.0,-0.2467779623515347,0.8980399379041016
1780011697.077396,913.8,14,0.4113158583641052,1.1179710626602173,-0.3228710889816284,-0.006905421614646912,-0.4247661232948303,-0.25992512702941895,-0.8671591877937317,-0.7402694241109935,-0.2088385622712921,-0.6390521376498459,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,0.6,True,False,outside,1.0595832031930217,-0.37306118926127474,0.8966892298985762,-1.0,-0.37306118926127474,0.8966892298985762
