timestamp_unix_seconds,time_ms,x,y,z,worn,in_out,device_serial,session_id
1778802277.3921552,1778802277392,801.5894165039062,600.7813720703125,,False,True,-1,d56c049f-247d-4de1-bc2e-505644ccdb40
1778802277.397044,1778802277397,799.17919921875,643.2789916992188,,False,True,-1,d56c049f-247d-4de1-bc2e-505644ccdb40
1778802277.4021552,1778802277402,816.9024658203125,635.9032592773438,,False,True,-1,d56c049f-247d-4de1-bc2e-505644ccdb40
1778802277.4071553,1778802277407,826.9750366210938,598.0546264648438,,False,True,-1,d56c049f-247d-4de1-bc2e-505644ccdb40
1778802277.4121552,1778802277412,839.9526977539062,555.3614501953125,,False,True,-1,d56c049f-247d-4de1-bc2e-505644ccdb40
1778802277.4171553,1778802277417,821.2844848632812,552.3980712890625,,False,True,-1,d56c049f-247d-4de1-bc2e-505644ccdb40
1778802277.4221663,1778802277422,811.168701171875,566.6241455078125,,False,True,-1,d56c049f-247d-4de1-bc2e-505644ccdb40
1778802277.4271553,1778802277427,877.1435546875,633.5606079101562,,False,True,-1,d56c049f-247d-4de1-bc2e-505644ccdb40
1778802277.4321551,1778802277432,807.0711669921875,592.44189453125,,False,True,-1,d56c049f-247d-4de1-bc2e-505644ccdb40
1778802277.4371552,1778802277437,796.878173828125,618.097900390625,,False,True,-1,d56c049f-247d-4de1-bc2e-505644ccdb40
1778802277.4421551,1778802277442,806.6533813476562,610.0894165039062,,False,True,-1,d56c049f-247d-4de1-bc2e-505644ccdb40
1778802277.4471552,1778802277447,814.5316772460938,585.6176147460938,,False,True,-1,d56c049f-247d-4de1-bc2e-505644ccdb40
1778802277.452155,1778802277452,827.4982299804688,593.108154296875,,False,True,-1,d56c049f-247d-4de1-bc2e-505644ccdb40
1778802277.4571552,1778802277457,793.5914916992188,578.8683471679688,,False,True,-1,d56c049f-247d-4de1-bc2e-505644ccdb40
1778802277.462155,1778802277462,800.3197631835938,578.4048461914062,,False,True,-1,d56c049f-247d-4de1-bc2e-505644ccdb40
1778802277.4671552,1778802277467,802.7601928710938,577.5445556640625,,False,True,-1,d56c049f-247d-4de1-bc2e-505644ccdb40
1778802277.4771552,1778802277477,833.3386840820312,583.887939453125,,False,True,-1,d56c049f-247d-4de1-bc2e-505644ccdb40
1778802277.482155,1778802277482,783.0047607421875,574.3236694335938,,False,True,-1,d56c049f-247d-4de1-bc2e-505644ccdb40
1778802277.4871552,1778802277487,822.4739379882812,563.1024780273438,,False,True,-1,d56c049f-247d-4de1-bc2e-505644ccdb40
1778802277.492155,1778802277492,819.9069213867188,566.9474487304688,,False,True,-1,d56c049f-247d-4de1-bc2e-505644ccdb40
1778802277.4971552,1778802277497,799.0101318359375,624.8327026367188,,False,True,-1,d56c049f-247d-4de1-bc2e-505644ccdb40
1778802277.502155,1778802277502,852.9644775390625,619.4033203125,,False,True,-1,d56c049f-247d-4de1-bc2e-505644ccdb40
1778802277.5071552,1778802277507,838.5361328125,622.5892944335938,,False,True,-1,d56c049f-247d-4de1-bc2e-505644ccdb40
1778802277.512155,1778802277512,856.3113403320312,560.2855224609375,,False,True,-1,d56c049f-247d-4de1-bc2e-505644ccdb40
1778802277.5171552,1778802277517,795.6368408203125,623.6088256835938,,False,True,-1,d56c049f-247d-4de1-bc2e-505644ccdb40
1778802277.5221553,1778802277522,782.6316528320312,599.0145874023438,,False,True,-1,d56c049f-247d-4de1-bc2e-505644ccdb40
1778802277.5272775,1778802277527,848.3778076171875,557.2015380859375,,False,True,-1,d56c049f-247d-4de1-bc2e-505644ccdb40
1778802277.5322773,1778802277532,824.9778442382812,615.2486572265625,,False,True,-1,d56c049f-247d-4de1-bc2e-505644ccdb40
1778802277.5372775,1778802277537,765.3844604492188,618.1356811523438,,False,True,-1,d56c049f-247d-4de1-bc2e-505644ccdb40
1778802277.5422773,1778802277542,815.1198120117188,638.1634521484375,,False,True,-1,d56c049f-247d-4de1-bc2e-505644ccdb40
1778802277.5472775,1778802277547,829.5072021484375,616.392822265625,,False,True,-1,d56c049f-247d-4de1-bc2e-505644ccdb40
1778802277.5522773,1778802277552,868.626953125,603.7443237304688,,False,True,-1,d56c049f-247d-4de1-bc2e-505644ccdb40
1778802277.5572774,1778802277557,802.8699340820312,577.0768432617188,,False,True,-1,d56c049f-247d-4de1-bc2e-505644ccdb40
1778802277.5622773,1778802277562,820.8689575195312,575.9744873046875,,False,True,-1,d56c049f-247d-4de1-bc2e-505644ccdb40
1778802277.5672774,1778802277567,829.253173828125,661.2293701171875,,False,True,-1,d56c049f-247d-4de1-bc2e-505644ccdb40
1778802277.5722773,1778802277572,819.72021484375,639.3430786132812,,False,True,-1,d56c049f-247d-4de1-bc2e-505644ccdb40
1778802277.5772774,1778802277577,827.8576049804688,647.0560913085938,,False,True,-1,d56c049f-247d-4de1-bc2e-505644ccdb40
1778802277.5822773,1778802277582,836.8689575195312,601.9959716796875,,False,True,-1,d56c049f-247d-4de1-bc2e-505644ccdb40
1778802277.5872774,1778802277587,835.1992797851562,603.9017944335938,,False,True,-1,d56c049f-247d-4de1-bc2e-505644ccdb40
1778802277.5922773,1778802277592,849.2119750976562,593.5023803710938,,False,True,-1,d56c049f-247d-4de1-bc2e-505644ccdb40
