timestamp_unix_seconds,time_ms,frame_index,available_keys,eye_key_used,eye_available,eye_position_x,eye_position_y,eye_position_z,eye_orientation_x,eye_orientation_y,eye_orientation_z,eye_orientation_w,head_position_x,head_position_y,head_position_z,head_orientation_x,head_orientation_y,head_orientation_z,head_orientation_w
1780011696.242489,78.9,0,eye,eye,True,0.37249302864074707,1.0841023921966553,-0.43881887197494507,-0.04555102437734604,0.40939009189605713,-0.09648041427135468,-0.9060995578765869,,,,,,,
1780011696.421143,257.5,1,eye,eye,True,0.3783004879951477,1.0675065517425537,-0.39296239614486694,-0.042363788932561874,0.21248851716518402,-0.2058504819869995,-0.95429527759552,,,,,,,
1780011696.433217,269.6,2,eye,eye,True,0.37892577052116394,1.0667942762374878,-0.38990518450737,-0.040534067898988724,0.19328993558883667,-0.21534638106822968,-0.9563587307929993,,,,,,,
1780011696.481237,317.6,3,eye,eye,True,0.3796643614768982,1.0662978887557983,-0.3868734538555145,-0.03853950276970863,0.17383909225463867,-0.22473107278347015,-0.9580138921737671,,,,,,,
1780011696.524522,360.9,4,eye,eye,True,0.3851320445537567,1.067688226699829,-0.3711387813091278,-0.023437879979610443,0.04910304397344589,-0.27613717317581177,-0.9595769047737122,,,,,,,
1780011696.531540,367.9,5,eye,eye,True,0.38610199093818665,1.068534016609192,-0.3690195381641388,-0.020731929689645767,0.028470395132899284,-0.28304606676101685,-0.9584594964981079,,,,,,,
1780011696.617905,454.3,6,eye,eye,True,0.3894226551055908,1.0740045309066772,-0.3606400489807129,-0.008618336170911789,-0.0644252747297287,-0.30804434418678284,-0.9491490125656128,,,,,,,
1780011696.631225,467.6,7,eye,eye,True,0.39039507508277893,1.0769847631454468,-0.3579658567905426,-0.00375997181981802,-0.09671436995267868,-0.3130473792552948,-0.9447928667068481,,,,,,,
1780011696.713938,550.3,8,eye,eye,True,0.3940313458442688,1.086834192276001,-0.350627601146698,0.006988530047237873,-0.18436330556869507,-0.3161095380783081,-0.9306106567382812,,,,,,,
1780011696.725446,561.8,9,eye,eye,True,0.394930899143219,1.088575839996338,-0.34946534037590027,0.008214091882109642,-0.19832555949687958,-0.3156047463417053,-0.9278971552848816,,,,,,,
1780011696.810785,647.2,10,eye,eye,True,0.4019903838634491,1.0998603105545044,-0.3440932035446167,0.01674310863018036,-0.27990594506263733,-0.3066393733024597,-0.9095848202705383,,,,,,,
1780011696.823900,660.3,11,eye,eye,True,0.40336039662361145,1.101583480834961,-0.34353137016296387,0.017747150734066963,-0.2928227484226227,-0.3048650026321411,-0.9060889482498169,,,,,,,
1780011696.911156,747.5,12,eye,eye,True,0.40956488251686096,1.1101900339126587,-0.3394628167152405,0.017446640878915787,-0.3576987683773041,-0.2935613691806793,-0.8863232135772705,,,,,,,
1780011696.994819,831.2,13,eye,eye,True,0.4123787581920624,1.1130993366241455,-0.33282670378685,0.0026284188497811556,-0.3915444314479828,-0.2795288860797882,-0.876669704914093,,,,,,,
1780011697.077396,913.8,14,eye,eye,True,0.4113158583641052,1.1179710626602173,-0.3228710889816284,-0.006905421614646912,-0.4247661232948303,-0.25992512702941895,-0.8671591877937317,,,,,,,
1780011697.086263,922.6,15,eye,eye,True,0.40855857729911804,1.1204333305358887,-0.319330632686615,-0.005037334747612476,-0.43307918310165405,-0.25647789239883423,-0.8640811443328857,,,,,,,
1780011697.163921,1000.3,16,eye,eye,True,0.39918795228004456,1.12506103515625,-0.3118196129798889,0.003247965592890978,-0.4461718201637268,-0.2525307536125183,-0.8585734963417053,,,,,,,
1780011697.218785,1055.2,17,eye,eye,True,0.38120901584625244,1.1317617893218994,-0.30284884572029114,0.0243879035115242,-0.4632943272590637,-0.25692471861839294,-0.8477932810783386,,,,,,,
1780011697.278166,1114.5,18,eye,eye,True,0.3645009696483612,1.1372698545455933,-0.29656800627708435,0.04326449707150459,-0.480890691280365,-0.26565468311309814,-0.8344458937644958,,,,,,,
1780011697.361829,1198.2,19,eye,eye,True,0.33811017870903015,1.1469924449920654,-0.29142847657203674,0.07634789496660233,-0.5138874650001526,-0.27669453620910645,-0.8084126114845276,,,,,,,
1780011697.369722,1206.1,20,eye,eye,True,0.33359473943710327,1.1488288640975952,-0.29148587584495544,0.08278034627437592,-0.5201624035835266,-0.27731913328170776,-0.8035374879837036,,,,,,,
1780011697.419537,1255.9,21,eye,eye,True,0.3154129385948181,1.1566581726074219,-0.2939174771308899,0.11081326007843018,-0.5450698733329773,-0.27681538462638855,-0.7835769057273865,,,,,,,
1780011697.485673,1322.0,22,eye,eye,True,0.29671788215637207,1.1631203889846802,-0.29811525344848633,0.13822351396083832,-0.5627392530441284,-0.27147504687309265,-0.768453061580658,,,,,,,
1780011697.544394,1380.8,23,eye,eye,True,0.2842954993247986,1.1667319536209106,-0.3026396632194519,0.15600748360157013,-0.5762155055999756,-0.26240697503089905,-0.7581425905227661,,,,,,,
1780011697.608911,1445.3,24,eye,eye,True,0.2629941999912262,1.171730399131775,-0.31327345967292786,0.1864539235830307,-0.6015858054161072,-0.23766100406646729,-0.7394909262657166,,,,,,,
1780011697.673215,1509.6,25,eye,eye,True,0.25087517499923706,1.1741622686386108,-0.3213762640953064,0.2065921127796173,-0.616684079170227,-0.21673621237277985,-0.728042483329773,,,,,,,
1780011697.744831,1581.2,26,eye,eye,True,0.23649969696998596,1.177156925201416,-0.3382648229598999,0.24435588717460632,-0.6392509937286377,-0.17144814133644104,-0.7086989879608154,,,,,,,
1780011697.760326,1596.7,27,eye,eye,True,0.234748974442482,1.1773046255111694,-0.3416735529899597,0.2510039210319519,-0.6433299779891968,-0.16137154400348663,-0.7050409913063049,,,,,,,
1780011697.810715,1647.1,28,eye,eye,True,0.2298007607460022,1.176275610923767,-0.35633552074432373,0.27478399872779846,-0.6612986326217651,-0.11820732057094574,-0.6878989934921265,,,,,,,
